,Unnamed: 0,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,prism:issueIdentifier,prism:isbn,pubmed-id,error
60,31,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85035747724', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85035747724?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85035747724&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85035747724&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0950061817322857'}",https://api.elsevier.com/content/abstract/scopus_id/85035747724,SCOPUS_ID:85035747724,2-s2.0-85035747724,Experimental study of carbon fiber reinforced alkali-activated slag composites with micro-encapsulated PCM for energy storage,Cui H.,Construction and Building Materials,09500618,161,442-451,2018-02-10,10 February 2018,10.1016/j.conbuildmat.2017.11.075,S0950061817322857,17.0,"[{'@_fa': 'true', 'affilname': 'Shenzhen University', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}]",Journal,ar,Article,,24443.0,0,False,,,,,
61,32,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85038909801', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85038909801?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85038909801&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038909801&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0360544217320480'}",https://api.elsevier.com/content/abstract/scopus_id/85038909801,SCOPUS_ID:85038909801,2-s2.0-85038909801,Geocooling with integrated PCM thermal energy storage in a commercial building,McKenna P.,Energy,03605442,144,865-876,2018-02-01,1 February 2018,10.1016/j.energy.2017.12.029,S0360544217320480,12.0,"[{'@_fa': 'true', 'affilname': 'University College Dublin', 'affiliation-city': 'Dublin', 'affiliation-country': 'Ireland'}]",Journal,ar,Article,,29348.0,0,False,,,,,
62,33,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85064830804', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85064830804?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064830804&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064830804&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85064830804,SCOPUS_ID:85064830804,2-s2.0-85064830804,Functionalized porous aromatic frameworks for CO <inf>2</inf> /N <inf>2</inf> high adsorption capacity and separation: A molecular simulation study,Liu K.,"Scientia Sinica: Physica, Mechanica et Astronomica",16747275,48,,2018-01-01,2018,10.1360/SSPMA2018-00112,,0.0,"[{'@_fa': 'true', 'affilname': 'China National Petroleum Corporation', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,114601,21100788426.0,1,True,20959478,11,,,
63,34,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85063082120', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85063082120?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063082120&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063082120&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85063082120,SCOPUS_ID:85063082120,2-s2.0-85063082120,Integrating phase change materials in passive houses,Badea G.,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",13142704,18,445-452,2018-01-01,2018,10.5593/sgem2018V/6.4/S09.056,,0.0,"[{'@_fa': 'true', 'affilname': 'Technical University of Cluj-Napoca', 'affiliation-city': 'Cluj-Napoca', 'affiliation-country': 'Romania'}]",Conference Proceeding,cp,Conference Paper,,21100274701.0,0,False,,6.4,"[{'@_fa': 'true', '$': '9786197408355'}, {'@_fa': 'true', '$': '9786197408362'}, {'@_fa': 'true', '$': '9786197408379'}, {'@_fa': 'true', '$': '9786197408386'}, {'@_fa': 'true', '$': '9786197408393'}, {'@_fa': 'true', '$': '9786197408409'}, {'@_fa': 'true', '$': '9786197408416'}, {'@_fa': 'true', '$': '9786197408423'}, {'@_fa': 'true', '$': '9786197408430'}, {'@_fa': 'true', '$': '9786197408447'}, {'@_fa': 'true', '$': '9786197408454'}, {'@_fa': 'true', '$': '9786197408461'}, {'@_fa': 'true', '$': '9786197408478'}, {'@_fa': 'true', '$': '9786197408485'}, {'@_fa': 'true', '$': '9786197408492'}, {'@_fa': 'true', '$': '9786197408508'}, {'@_fa': 'true', '$': '9786197408515'}, {'@_fa': 'true', '$': '9786197408522'}, {'@_fa': 'true', '$': '9786197408706'}, {'@_fa': 'true', '$': '9786197408713'}, {'@_fa': 'true', '$': '9786197408720'}, {'@_fa': 'true', '$': '9786197408355'}]",,
64,35,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84995934811', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84995934811?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84995934811&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84995934811&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652616311416'}",https://api.elsevier.com/content/abstract/scopus_id/84995934811,SCOPUS_ID:84995934811,2-s2.0-84995934811,Carbon sequestration and substitution potential of subtropical mountain Sugi plantation forests in central Taiwan,Chang F.C.,Journal of Cleaner Production,09596526,167,1099-1105,2017-11-20,20 November 2017,10.1016/j.jclepro.2016.08.016,S0959652616311416,3.0,"[{'@_fa': 'true', 'affilname': 'National Taiwan University', 'affiliation-city': 'Taipei', 'affiliation-country': 'Taiwan'}]",Journal,ar,Article,,19167.0,0,False,,,,,
65,36,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85027864463', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85027864463?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85027864463&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027864463&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2210670716305923'}",https://api.elsevier.com/content/abstract/scopus_id/85027864463,SCOPUS_ID:85027864463,2-s2.0-85027864463,The contribution of wood-based construction materials for leveraging a low carbon building sector in europe,Hildebrandt J.,Sustainable Cities and Society,22106707,34,405-418,2017-10-01,October 2017,10.1016/j.scs.2017.06.013,S2210670716305923,31.0,"[{'@_fa': 'true', 'affilname': 'Helmholtz Zentrum für Umweltforschung', 'affiliation-city': 'Leipzig', 'affiliation-country': 'Germany'}]",Journal,ar,Article,,19700194105.0,1,True,,,,,
66,37,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85027224960', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85027224960?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85027224960&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027224960&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0009254117304230'}",https://api.elsevier.com/content/abstract/scopus_id/85027224960,SCOPUS_ID:85027224960,2-s2.0-85027224960,Carbon and nutrient fluxes from floodplains and reservoirs in the Zambezi basin,Zuijdgeest A.,Chemical Geology,00092541,467,1-11,2017-09-20,20 September 2017,10.1016/j.chemgeo.2017.07.025,S0009254117304230,3.0,"[{'@_fa': 'true', 'affilname': 'IHE Delft Institute for Water Education', 'affiliation-city': 'Delft', 'affiliation-country': 'Netherlands'}, {'@_fa': 'true', 'affilname': 'Eawag - Swiss Federal Institute of Aquatic Science and Technology', 'affiliation-city': 'Dubendorf', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,,22040.0,0,False,,,,,
67,38,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85021842410', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85021842410?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021842410&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021842410&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85021842410,SCOPUS_ID:85021842410,2-s2.0-85021842410,Operational vs. Embodied energy: A case for wood construction,Bejo L.,Drvna Industrija,00126772,68,163-172,2017-06-01,June 2017,10.5552/drind.2017.1423,,2.0,"[{'@_fa': 'true', 'affilname': 'Soproni Egyetem', 'affiliation-city': 'Sopron', 'affiliation-country': 'Hungary'}]",Journal,ar,Article,,90173.0,1,True,18471153,2,,,
68,39,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85082360055', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85082360055?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082360055&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082360055&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261916305451'}",https://api.elsevier.com/content/abstract/scopus_id/85082360055,SCOPUS_ID:85082360055,2-s2.0-85082360055,Thermal performance of buildings integrated with phase change materials to reduce heat stress risks during extreme heatwave events,Ramakrishnan S.,Applied Energy,03062619,194,410-421,2017-05-15,15 May 2017,10.1016/j.apenergy.2016.04.084,S0306261916305451,81.0,"[{'@_fa': 'true', 'affilname': 'Swinburne University of Technology', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}]",Journal,ar,Article,,28801.0,0,False,,,,,
69,41,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85017560039', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85017560039?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017560039&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85017560039&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1364032117304732'}",https://api.elsevier.com/content/abstract/scopus_id/85017560039,SCOPUS_ID:85017560039,2-s2.0-85017560039,Micro-encapsulated phase change material (MPCM) slurries: Characterization and building applications,Qiu Z.,Renewable and Sustainable Energy Reviews,13640321,77,246-262,2017-01-01,2017,10.1016/j.rser.2017.04.001,S1364032117304732,34.0,"[{'@_fa': 'true', 'affilname': 'Shanghai University of Electric Power', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of Hull', 'affiliation-city': 'Hull', 'affiliation-country': 'United Kingdom'}]",Journal,re,Review,,27567.0,0,False,18790690,,,,
70,48,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84943145452', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84943145452?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84943145452&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84943145452&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S037877881530270X'}",https://api.elsevier.com/content/abstract/scopus_id/84943145452,SCOPUS_ID:84943145452,2-s2.0-84943145452,Thermal performance of a window-based cooling unit using phase change materials combined with night ventilation,Xiang Y.,Energy and Buildings,03787788,108,267-278,2015-12-01,1 December 2015,10.1016/j.enbuild.2015.09.030,S037877881530270X,11.0,"[{'@_fa': 'true', 'affilname': 'North China Electric Power University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,6150,29359.0,0,False,,,,,
71,49,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84944415883', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84944415883?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944415883&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944415883&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84944415883,SCOPUS_ID:84944415883,2-s2.0-84944415883,Climate change mitigation effect of harvested wood products in regions of Japan,Kayo C.,Carbon Balance and Management,,10,,2015-10-14,"October 14, 2015",10.1186/s13021-015-0036-3,,13.0,"[{'@_fa': 'true', 'affilname': 'Tokyo University of Agriculture and Technology', 'affiliation-city': 'Fuchu', 'affiliation-country': 'Japan'}]",Journal,ar,Article,,5800179606.0,1,True,17500680,1,,,
72,50,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84941600285', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84941600285?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84941600285&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941600285&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1876107015001194'}",https://api.elsevier.com/content/abstract/scopus_id/84941600285,SCOPUS_ID:84941600285,2-s2.0-84941600285,Shape-stabilised n-octadecane/activated carbon nanocomposite phase change material for thermal energy storage,Khadiran T.,Journal of the Taiwan Institute of Chemical Engineers,18761070,55,189-197,2015-01-01,1 October 2015,10.1016/j.jtice.2015.03.028,S1876107015001194,34.0,"[{'@_fa': 'true', 'affilname': 'Universiti Putra Malaysia', 'affiliation-city': 'Serdang', 'affiliation-country': 'Malaysia'}, {'@_fa': 'true', 'affilname': 'Forest Research Institute Malaysia', 'affiliation-city': 'Kepong', 'affiliation-country': 'Malaysia'}]",Journal,ar,Article,,13900154734.0,0,False,,,,,
73,54,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84904793421', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84904793421?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84904793421&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84904793421&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261914002268'}",https://api.elsevier.com/content/abstract/scopus_id/84904793421,SCOPUS_ID:84904793421,2-s2.0-84904793421,CO<inf>2</inf> emissions reduction potential in China's cement industry compared to IEA's Cement Technology Roadmap up to 2050,Xu J.,Applied Energy,03062619,130,592-602,2014-10-01,1 October 2014,10.1016/j.apenergy.2014.03.004,S0306261914002268,78.0,"[{'@_fa': 'true', 'affilname': 'Institute of Policy and Management Chinese Academy of Science', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,,28801.0,0,False,,,,,
74,71,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84922895975', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84922895975?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84922895975&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84922895975&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1876610214023492'}",https://api.elsevier.com/content/abstract/scopus_id/84922895975,SCOPUS_ID:84922895975,2-s2.0-84922895975,South west hub CCS project in Western Australia - Characterisation of a greenfield site,Stalker L.,Energy Procedia,18766102,63,5041-5050,2014-01-01,2014,10.1016/j.egypro.2014.11.534,S1876610214023492,2.0,"[{'@_fa': 'true', 'affilname': 'CSIRO Energy', 'affiliation-city': 'Perth', 'affiliation-country': 'Australia'}, {'@_fa': 'true', 'affilname': 'National Geosequestration Laboratory', 'affiliation-city': 'Perth', 'affiliation-country': 'Australia'}]",Conference Proceeding,cp,Conference Paper,,17700156736.0,1,True,,,,,
75,86,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84887379408', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84887379408?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887379408&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887379408&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84887379408,SCOPUS_ID:84887379408,2-s2.0-84887379408,Global energy and the role of geosciences: A North American perspective,Tinker S.W.,Special Paper of the Geological Society of America,00721077,501,21-51,2013-01-01,2013,10.1130/2013.2501(02),,0.0,"[{'@_fa': 'true', 'affilname': 'Bureau of Economic Geology', 'affiliation-city': 'Austin', 'affiliation-country': 'United States'}]",Book Series,ar,Article,,19500157214.0,0,False,,,"[{'@_fa': 'true', '$': '9780813725017'}]",,
76,87,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84869227988', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84869227988?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869227988&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869227988&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1877343512001388'}",https://api.elsevier.com/content/abstract/scopus_id/84869227988,SCOPUS_ID:84869227988,2-s2.0-84869227988,Forest inventories for carbon change assessments,Mohren G.,Current Opinion in Environmental Sustainability,18773435,4,686-695,2012-12-01,December 2012,10.1016/j.cosust.2012.10.002,S1877343512001388,24.0,"[{'@_fa': 'true', 'affilname': 'Wageningen University and Research Centre', 'affiliation-city': 'Wageningen', 'affiliation-country': 'Netherlands'}]",Journal,re,Review,,19400158343.0,0,False,,6,,,
77,88,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84872390625', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84872390625?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84872390625&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872390625&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84872390625,SCOPUS_ID:84872390625,2-s2.0-84872390625,"Using solid wood construction methods in order to reduce emissions affecting the climate; options for reducing the CO2 output created by external building components by using solid wood construction as part of the legal requirements for the energy efficiency of buildings, part 2",Lüking R.,Bauphysik,01715445,34,292-301,2012-12-01,December 2012,10.1002/bapi.201200035,,1.0,,Trade Journal,ar,Article,,26338.0,0,False,14370980,6,,,
78,90,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84867154841', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84867154841?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84867154841&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867154841&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84867154841,SCOPUS_ID:84867154841,2-s2.0-84867154841,"Using solid wood construction methods in order to reduce emissions affecting the climate; principles and options for reducing the CO <inf>2</inf> output created by external building components by using solid wood construction as part of the legal requirements for the energy efficiency of buildings, part 1",Lüking R.,Bauphysik,01715445,34,204-209,2012-10-01,October 2012,10.1002/bapi.201200026,,0.0,"[{'@_fa': 'true', 'affilname': 'GRE E.V.', 'affiliation-city': 'Kassel', 'affiliation-country': 'Germany'}]",Trade Journal,ar,Article,,26338.0,0,False,14370980,5,,,
79,92,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84858401061', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84858401061?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84858401061&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858401061&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1364032112000706'}",https://api.elsevier.com/content/abstract/scopus_id/84858401061,SCOPUS_ID:84858401061,2-s2.0-84858401061,Sustainable thermal energy storage technologies for buildings: A review,Parameshwaran R.,Renewable and Sustainable Energy Reviews,13640321,16,2394-2433,2012-06-01,June 2012,10.1016/j.rser.2012.01.058,S1364032112000706,179.0,"[{'@_fa': 'true', 'affilname': 'Anna University', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",Journal,re,Review,,27567.0,0,False,,5,,,
80,94,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84855246789', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84855246789?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84855246789&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855246789&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0360132311003957'}",https://api.elsevier.com/content/abstract/scopus_id/84855246789,SCOPUS_ID:84855246789,2-s2.0-84855246789,Concrete vs. wood in buildings - An energy system approach,Nässén J.,Building and Environment,03601323,51,361-369,2012-05-01,May 2012,10.1016/j.buildenv.2011.11.011,S0360132311003957,48.0,"[{'@_fa': 'true', 'affilname': 'Chalmers University of Technology', 'affiliation-city': 'Göteborg', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,,26874.0,0,False,,,,,
81,96,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/80755148590', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/80755148590?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80755148590&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80755148590&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261911006532'}",https://api.elsevier.com/content/abstract/scopus_id/80755148590,SCOPUS_ID:80755148590,2-s2.0-80755148590,Experimental study of the thermal characteristics of phase change slurries for active cooling,Lu W.,Applied Energy,03062619,91,366-374,2012-01-01,March 2012,10.1016/j.apenergy.2011.10.004,S0306261911006532,52.0,"[{'@_fa': 'true', 'affilname': 'Brunel University London', 'affiliation-city': 'Uxbridge', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,,28801.0,0,False,,1,,,
82,99,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/80051976316', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/80051976316?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80051976316&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80051976316&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/80051976316,SCOPUS_ID:80051976316,2-s2.0-80051976316,A synthesis of current knowledge on forests and carbon storage in the United States,McKinley D.C.,Ecological Applications,10510761,21,1902-1924,2011-09-01,September 2011,10.1890/10-0697.1,,226.0,"[{'@_fa': 'true', 'affilname': 'American Association for the Advancement of Science', 'affiliation-city': 'Washington, D.C.', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'USDA Forest Service', 'affiliation-city': 'Washington, D.C.', 'affiliation-country': 'United States'}]",Journal,re,Review,,20287.0,0,False,,6,,21939033.0,
83,100,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/79951813422', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/79951813422?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951813422&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951813422&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/79951813422,SCOPUS_ID:79951813422,2-s2.0-79951813422,Energy and CO<inf>2</inf> analysis of wood substitution in construction,Gustavsson L.,Climatic Change,01650009,105,129-153,2011-03-01,March 2011,10.1007/s10584-010-9876-8,,48.0,"[{'@_fa': 'true', 'affilname': 'Mid Sweden University, Östersund', 'affiliation-city': 'Ostersund', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Linnaeus University, Kalmar', 'affiliation-city': 'Kalmar', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,,12177.0,0,False,,1,,,
84,101,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85014853854', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85014853854?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014853854&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014853854&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85014853854,SCOPUS_ID:85014853854,2-s2.0-85014853854,Carbon dioxide capture and sequestration,Benson S.,Fundamentals of materials for energy and environmental sustainability,,,90-104,2011-01-01,1 January 2011,10.1017/CBO9780511718786.010,,2.0,"[{'@_fa': 'true', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}]",Book,ch,Chapter,,21100800431.0,0,False,,,"[{'@_fa': 'true', '$': '9780511718786'}, {'@_fa': 'true', '$': '9781107000230'}]",,
85,102,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/79955409980', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/79955409980?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955409980&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955409980&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S187661021100840X'}",https://api.elsevier.com/content/abstract/scopus_id/79955409980,SCOPUS_ID:79955409980,2-s2.0-79955409980,"Study of geological storage for a candidate CCS demonstration Project in Tomakomai, Hokkaido, Japan",Yamanouchi Y.,Energy Procedia,18766102,4,5677-5684,2011-01-01,2011,10.1016/j.egypro.2011.02.561,S187661021100840X,3.0,"[{'@_fa': 'true', 'affilname': 'Japan CCS Co., Ltd.', 'affiliation-city': 'Tokyo', 'affiliation-country': 'Japan'}]",Conference Proceeding,cp,Conference Paper,,17700156736.0,1,True,,,,,
